"DISTRICTCODE","Nama Kabupaten","latitude","longitude"
"7171","KOTA MANADO","1.4917014","124.84284299999999"
"7172","KOTA BITUNG","1.4553528999999998","125.204697"
"7173","KOTA TOMOHON","1.3234131000000002","124.8384504"
"7174","KOTA KOTAMOBAGU","0.7333333000000001","124.31666670000001"
"7201","KABUPATEN BANGGAI KEPULAUAN","-1.6408136999999998","123.55040759999999"
"7202","KABUPATEN BANGGAI","-1.6408136999999998","123.55040759999999"
"7203","KABUPATEN MOROWALI","-2.3003072","121.5370003"
"7204","KABUPATEN POSO","-1.3919219999999999","120.766998"
"7205","KABUPATEN DONGGALA","-0.42331549999999996","119.8352303"
"7206","KABUPATEN TOLI-TOLI","0.8768231","120.7579834"
"7207","KABUPATEN BUOL","0.9695451999999999","121.35416310000001"
"7208","KABUPATEN PARIGI MOUTONG","0.5817607","120.80394740000001"
"7209","KABUPATEN TOJO UNA-UNA","-1.098757","121.5370003"
"7210","KABUPATEN SIGI","-1.3834127","120.0665236"
"7211","KABUPATEN BANGGAI LAUT","-1.6735","123.5504"
"7212","KABUPATEN MOROWALI UTARA","-1.6312","121.3542"
"7271","KOTA PALU","-0.898583","119.850601"
"7301","KABUPATEN KEPULAUAN SELAYAR","-6.287000000000001","120.5049"
"7302","KABUPATEN BULUKUMBA","-5.432936799999999","120.20510959999999"
"7303","KABUPATEN BANTAENG","-5.5169315999999995","120.02029640000002"
"7304","KABUPATEN JENEPONTO","-5.554579","119.6730939"
"7305","KABUPATEN TAKALAR","-5.4162493","119.48756680000001"
"7306","KABUPATEN GOWA","-5.3102887999999995","119.742604"
"7307","KABUPATEN SINJAI","-5.2171961","120.11273500000001"
"7308","KABUPATEN MAROS","-4.94695","119.578903"
"7309","KABUPATEN PANGKAJENE DAN KEPULAUAN","-4.805035","119.55716770000001"
"7310","KABUPATEN BARRU","-4.4172651","119.6730939"
"7311","KABUPATEN BONE","-2.083333","120.21666699999999"
